解读GPS
日期,时间,纬度,经度,海拔,地面速率,地面航向,卫星数
17年05月10日,01时41分44秒,40度48.1分,111度41.423分,1049m,013.1公里／小时,158.5度,10颗
17年05月10日,01时41分44秒,40度48.1分,111度41.423分,1049m,013.1公里／小时,158.5度,10颗
17年05月10日,01时41分45秒,40度48.1分,111度41.425分,1048m,013.1公里／小时,158.6度,10颗
17年05月10日,01时41分47秒,40度48.1分,111度41.427分,1048m,012.3公里／小时,166.9度,10颗
17年05月10日,01时41分48秒,40度48.1分,111度41.429分,1047m,013.2公里／小时,163.4度,10颗
17年05月10日,01时41分48秒,40度48.1分,111度41.429分,1047m,013.2公里／小时,163.4度,10颗
17年05月10日,01时41分49秒,40度48.1分,111度41.430分,1046m,013.4公里／小时,162.8度,10颗
17年05月10日,01时41分50秒,40度48.1分,111度41.432分,1046m,013.4公里／小时,162.1度,10颗
17年05月10日,01时41分51秒,40度48.1分,111度41.433分,1046m,014.2公里／小时,160.9度,10颗
17年05月10日,01时41分52秒,40度48.1分,111度41.435分,1046m,014.5公里／小时,160.1度,10颗
17年05月10日,01时41分53秒,40度48.1分,111度41.437分,1045m,013.5公里／小时,160.2度,10颗
17年05月10日,01时41分54秒,40度48.1分,111度41.438分,1045m,013.0公里／小时,167.0度,10颗
17年05月10日,01时41分55秒,40度48.1分,111度41.440分,1045m,012.1公里／小时,166.2度,10颗
17年05月10日,01时41分56秒,40度48.1分,111度41.442分,1045m,012.4公里／小时,164.3度,10颗
17年05月10日,01时41分57秒,40度48.1分,111度41.443分,1044m,012.2公里／小时,164.9度,10颗
17年05月10日,01时41分58秒,40度48.1分,111度41.444分,1044m,011.4公里／小时,163.9度,10颗
17年05月10日,01时41分59秒,40度48.1分,111度41.446分,1044m,011.4公里／小时,162.8度,10颗
17年05月10日,01时42分00秒,40度48.1分,111度41.447分,1043m,011.4公里／小时,162.7度,10颗
17年05月10日,01时42分01秒,40度48.1分,111度41.448分,1043m,011.4公里／小时,162.0度,10颗
17年05月10日,01时42分02秒,40度48.1分,111度41.450分,1043m,011.8公里／小时,161.3度,10颗
17年05月10日,01时42分03秒,40度48.1分,111度41.451分,1042m,011.8公里／小时,160.7度,09颗
17年05月10日,01时42分04秒,40度48.0分,111度41.452分,1042m,011.3公里／小时,161.0度,10颗
17年05月10日,01时42分05秒,40度48.0分,111度41.453分,1042m,010.2公里／小时,171.4度,10颗
17年05月10日,01时42分06秒,40度48.0分,111度41.453分,1042m,009.4公里／小时,187.2度,10颗
17年05月10日,01时42分07秒,40度48.0分,111度41.452分,1041m,009.0公里／小时,199.6度,10颗
17年05月10日,01时42分08秒,40度48.0分,111度41.451分,1041m,008.6公里／小时,215.7度,10颗
17年05月10日,01时42分09秒,40度48.0分,111度41.449分,1041m,007.8公里／小时,229.1度,10颗
17年05月10日,01时42分10秒,40度48.0分,111度41.446分,1041m,008.9公里／小时,243.3度,10颗
17年05月10日,01时42分11秒,40度48.0分,111度41.443分,1042m,009.5公里／小时,245.2度,10颗
17年05月10日,01时42分13秒,40度48.0分,111度41.436分,1042m,008.2公里／小时,253.7度,10颗
17年05月10日,01时42分14秒,40度48.0分,111度41.433分,1042m,008.1公里／小时,252.7度,10颗
17年05月10日,01时42分14秒,40度48.0分,111度41.433分,1041m,008.1公里／小时,252.7度,10颗
17年05月10日,01时42分15秒,40度48.0分,111度41.431分,1041m,007.7公里／小时,252.0度,10颗
17年05月10日,01时42分16秒,40度48.0分,111度41.428分,1041m,007.6公里／小时,248.9度,10颗
17年05月10日,01时42分18秒,40度48.0分,111度41.423分,1041m,007.2公里／小时,250.0度,10颗
17年05月10日,01时42分18秒,40度48.0分,111度41.423分,1041m,007.2公里／小时,250.0度,10颗
17年05月10日,01时42分20秒,40度48.0分,111度41.419分,1041m,005.9公里／小时,251.7度,10颗
17年05月10日,01时42分20秒,40度48.0分,111度41.419分,1042m,005.9公里／小时,251.7度,10颗
17年05月10日,01时42分21秒,40度48.0分,111度41.417分,1042m,003.9公里／小时,251.9度,10颗
17年05月10日,01时42分23秒,40度48.0分,111度41.414分,1042m,004.0公里／小时,258.6度,10颗
17年05月10日,01时42分23秒,40度48.0分,111度41.414分,1042m,004.0公里／小时,258.6度,10颗
17年05月10日,01时42分24秒,40度48.0分,111度41.413分,1042m,003.7公里／小时,256.9度,10颗
17年05月10日,01时42分26秒,40度48.0分,111度41.411分,1042m,003.1公里／小时,253.5度,10颗
17年05月10日,01时42分26秒,40度48.0分,111度41.411分,1043m,003.1公里／小时,253.5度,10颗
17年05月10日,01时42分28秒,40度48.0分,111度41.408分,1043m,003.9公里／小时,249.8度,10颗
17年05月10日,01时42分28秒,40度48.0分,111度41.408分,1044m,003.9公里／小时,249.8度,10颗
17年05月10日,01时42分30秒,40度48.0分,111度41.404分,1044m,003.9公里／小时,250.6度,10颗
17年05月10日,01时42分31秒,40度48.0分,111度41.402分,1044m,003.3公里／小时,252.0度,10颗
17年05月10日,01时42分32秒,40度48.0分,111度41.401分,1045m,003.3公里／小时,255.6度,10颗
17年05月10日,01时42分32秒,40度48.0分,111度41.401分,1045m,003.3公里／小时,255.6度,10颗
17年05月10日,01时42分33秒,40度48.0分,111度41.400分,1046m,004.3公里／小时,260.9度,10颗
17年05月10日,01时42分35秒,40度48.0分,111度41.400分,1046m,002.7公里／小时,354.6度,10颗
17年05月10日,01时42分35秒,40度48.0分,111度41.400分,1047m,002.7公里／小时,354.6度,10颗
17年05月10日,01时42分37秒,40度48.0分,111度41.401分,1047m,002.7公里／小时,354.6度,10颗
17年05月10日,01时42分37秒,40度48.0分,111度41.401分,1047m,002.7公里／小时,354.6度,10颗
17年05月10日,01时42分39秒,40度48.0分,111度41.402分,1048m,002.5公里／小时,354.6度,10颗
17年05月10日,01时42分39秒,40度48.0分,111度41.402分,1048m,002.5公里／小时,354.6度,10颗
17年05月10日,01时42分40秒,40度48.0分,111度41.403分,1048m,001.7公里／小时,354.6度,10颗
17年05月10日,01时42分41秒,40度48.0分,111度41.403分,1049m,001.7公里／小时,354.6度,10颗
17年05月10日,01时42分42秒,40度48.0分,111度41.404分,1049m,001.6公里／小时,354.6度,10颗
17年05月10日,01时42分44秒,40度48.0分,111度41.405分,1049m,001.4公里／小时,354.6度,10颗
17年05月10日,01时42分44秒,40度48.0分,111度41.405分,1049m,001.4公里／小时,354.6度,10颗
17年05月10日,01时42分45秒,40度48.0分,111度41.405分,1049m,001.5公里／小时,354.6度,10颗
17年05月10日,01时42分47秒,40度48.0分,111度41.407分,1049m,001.2公里／小时,354.6度,10颗
17年05月10日,01时42分47秒,40度48.0分,111度41.407分,1049m,001.2公里／小时,354.6度,10颗
17年05月10日,01时42分49秒,40度48.0分,111度41.407分,1050m,000.4公里／小时,354.6度,10颗
17年05月10日,01时42分50秒,40度48.0分,111度41.407分,1050m,000.0公里／小时,354.6度,10颗
17年05月10日,01时42分50秒,40度48.0分,111度41.407分,1050m,000.0公里／小时,354.6度,10颗
17年05月10日,01时42分52秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,10颗
17年05月10日,01时42分53秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,10颗
17年05月10日,01时42分53秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,10颗
17年05月10日,01时42分55秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,10颗
17年05月10日,01时42分56秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,10颗
17年05月10日,01时42分56秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,10颗
17年05月10日,01时42分58秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,10颗
17年05月10日,01时42分58秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,10颗
17年05月10日,01时43分00秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,09颗
17年05月10日,01时43分00秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,09颗
17年05月10日,01时43分02秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,09颗
17年05月10日,01时43分03秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,09颗
17年05月10日,01时43分03秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,09颗
17年05月10日,01时43分05秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,09颗
17年05月10日,01时43分05秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,09颗
17年05月10日,01时43分06秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,09颗
17年05月10日,01时43分07秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,09颗
17年05月10日,01时43分09秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,09颗
17年05月10日,01时43分10秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,09颗
17年05月10日,01时43分10秒,40度48.0分,111度41.408分,1050m,000.0公里／小时,354.6度,09颗
